date,base,currency,rate,predicted_rate,is_future
2026-03-24,USD,EUR,,0.8639685633333333,1
2026-03-24,USD,KZT,,479.4904506766667,1
2026-03-24,USD,UZS,,12193.467925795,1
2026-03-17,USD,EUR,0.87058161,,0
2026-03-18,USD,EUR,0.86721874,,0
2026-03-19,USD,EUR,0.87028023,,0
2026-03-20,USD,EUR,0.86635734,,0
2026-03-21,USD,EUR,0.86555601,,0
2026-03-22,USD,EUR,0.86550067,,0
2026-03-23,USD,EUR,0.86506095,0.8639685633333333,0
2026-03-17,USD,KZT,483.06634448,,0
2026-03-18,USD,KZT,481.18833153,,0
2026-03-19,USD,KZT,482.5940682,,0
2026-03-20,USD,KZT,480.73960903,,0
2026-03-21,USD,KZT,481.00487596,,0
2026-03-22,USD,KZT,480.95365189,,0
2026-03-23,USD,KZT,480.76588221,479.4904506766667,0
2026-03-17,USD,UZS,12148.91492977,,0
2026-03-18,USD,UZS,12182.02998025,,0
2026-03-19,USD,UZS,12196.04258119,,0
2026-03-20,USD,UZS,12200.91149628,,0
2026-03-21,USD,UZS,12197.49757164,,0
2026-03-22,USD,UZS,12197.93459725,,0
2026-03-23,USD,UZS,12200.19780563,12193.467925795,0
